_10_14_mcg_dl,_15_19_mcg_dl,_2000_population_of_children_6_and_under,_20_24_mcg_dl,_25_44_mcg_dl,_45_mcg_dl,county,total_tested,lrate1,lrate2,lrate3,lrate4,lrate5,lscore,Year
0,0,373,0,0,0,Calhoun,56,0,0,0,0,0,0,2005
5,3,1159,5,2,0,Carroll,251,19.92031873,11.95219124,19.92031873,7.96812749,0,101.5936255,2005
11,1,1376,1,2,1,Cass,310,35.48387097,3.225806452,3.225806452,6.451612903,3.225806452,82.25806452,2005
32,8,15229,3,4,0,Champaign,1754,18.24401368,4.561003421,1.710376283,2.28050171,0,35.34777651,2005
6,0,2763,1,1,0,Christian,365,16.43835616,0,2.739726027,2.739726027,0,30.1369863,2005
4,1,1308,0,1,0,Clark,302,13.24503311,3.311258278,0,3.311258278,0,28.14569536,2005
4,7,1231,0,2,0,Clay,289,13.84083045,24.22145329,0,6.920415225,0,70.93425606,2005
5,2,2765,0,0,0,Clinton,262,19.08396947,7.633587786,0,0,0,30.53435115,2005
11,6,3762,2,1,0,Coles,598,18.39464883,10.03344482,3.344481605,1.672240803,0,45.15050167,2005
384,108,241425,45,50,6,CookNotChicago,32770,11.71803479,3.295697284,1.373207202,1.52578578,0.183094294,24.90082392,2005
3004,782,308416,314,307,59,Chicago,101033,29.73285956,7.740045332,3.10789544,3.038611147,0.583967615,59.59438995,2005
5,0,1408,2,0,0,Crawford,262,19.08396947,0,7.633587786,0,0,34.35114504,2005
3,1,871,0,1,0,Cumberland,179,16.75977654,5.586592179,0,5.586592179,0,41.89944134,2005
8,1,7983,1,0,0,DeKalb,662,12.08459215,1.510574018,1.510574018,0,0,17.37160121,2005
4,0,1430,0,0,0,DeWitt,303,13.20132013,0,0,0,0,13.20132013,2005
1,4,2055,2,0,0,Douglas,281,3.558718861,14.23487544,7.117437722,0,0,39.14590747,2005
26,13,89349,4,3,0,DuPage,4636,5.608283003,2.804141501,0.86281277,0.647109577,0,13.48144953,2005
6,3,1395,0,0,0,Edgar,344,17.44186047,8.720930233,0,0,0,30.52325581,2005
4,1,552,0,0,0,Edwards,172,23.25581395,5.813953488,0,0,0,31.97674419,2005
6,2,3210,0,1,0,Effingham,609,9.852216749,3.28407225,0,1.642036125,0,19.7044335,2005
11,1,1711,0,0,0,Fayette,401,27.43142145,2.493765586,0,0,0,31.17206983,2005
0,0,1228,1,0,0,Ford,62,0,0,16.12903226,0,0,32.25806452,2005
0,0,3235,0,1,0,Franklin,295,0,0,0,3.389830508,0,10.16949153,2005
22,9,2836,3,0,0,Fulton,437,50.34324943,20.59496568,6.864988558,0,0,94.96567506,2005
0,0,472,0,0,0,Gallatin,130,0,0,0,0,0,0,2005
6,3,1224,1,0,0,Greene,303,19.8019802,9.900990099,3.300330033,0,0,41.25412541,2005
0,0,3928,0,0,0,Grundy,313,0,0,0,0,0,0,2005
7,0,627,0,0,0,Hamilton,94,74.46808511,0,0,0,0,74.46808511,2005
12,4,1380,2,0,0,Hancock,366,32.78688525,10.92896175,5.464480874,0,0,60.10928962,2005
0,0,348,0,1,0,Hardin,57,0,0,0,17.54385965,0,52.63157895,2005
2,0,498,1,0,0,Henderson,177,11.29943503,0,5.649717514,0,0,22.59887006,2005
27,8,3959,2,2,0,Henry,1002,26.94610778,7.984031936,1.996007984,1.996007984,0,48.90219561,2005
6,1,2432,0,0,0,Iroquois,278,21.58273381,3.597122302,0,0,0,26.97841727,2005
5,5,4238,0,1,0,Jackson,823,6.075334143,6.075334143,0,1.215066829,0,18.83353584,2005
3,2,823,1,0,0,Jasper,154,19.48051948,12.98701299,6.493506494,0,0,51.94805195,2005
4,5,3236,1,1,0,Jefferson,675,5.925925926,7.407407407,1.481481481,1.481481481,0,24.44444444,2005
5,0,1670,1,0,0,Jersey,297,16.83501684,0,3.367003367,0,0,23.56902357,2005
1,2,1643,1,0,0,Jo Daviess,136,7.352941176,14.70588235,7.352941176,0,0,44.11764706,2005
0,0,918,0,0,0,Johnson,74,0,0,0,0,0,0,2005
242,72,56926,30,32,4,Kane,9910,24.419778,7.265388496,3.027245207,3.229061554,0.403632694,53.07769929,2005
39,6,10534,3,2,0,Kankakee,2435,16.0164271,2.464065708,1.232032854,0.821355236,0,24.64065708,2005
4,0,8217,1,0,1,Kendall,319,12.53918495,0,3.134796238,0,3.134796238,34.48275862,2005
41,17,4157,2,7,0,Knox,915,44.80874317,18.57923497,2.18579235,7.650273224,0,100,2005
77,20,73888,13,6,1,Lake,8542,9.014282369,2.341372044,1.521891829,0.702411613,0.117068602,18.26270194,2005
29,5,9755,3,1,0,LaSalle,1313,22.08682407,3.808073115,2.284843869,0.761614623,0,34.65346535,2005
